"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","t_centrarchi","t_lynn","t_maritimum","t_mesophilum","t_ovolyticum","t_rebecca","t_soleae","t_sp47","Inference"
"group_4141","gldH","Gliding motility lipoprotein GldH","1","1","1","132","1278","150","1730","","488","488","488","BIAFHNIK_02508","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8KRP0"
"group_4142","","hypothetical protein","1","1","1","132","1277","150","1729","","1916","1916","1916","BIAFHNIK_02509","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4143","","hypothetical protein","1","1","1","132","1276","150","1728","","566","566","566","BIAFHNIK_02510","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4144","","hypothetical protein","1","1","1","132","1274","150","1726","","623","623","623","BIAFHNIK_02512","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4145","pepP_2","Xaa-Pro aminopeptidase","1","1","1","132","1273","150","1725","","1292","1292","1292","BIAFHNIK_02513","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P15034"
"rhlE_4","","ATP-dependent RNA helicase RhlE","1","1","1","132","1272","150","1724","","1343","1343","1343","BIAFHNIK_02514","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P25888"
"group_4147","doeB","N-alpha-acetyl-L-2%2C4-diaminobutyric acid deacetylase","1","1","1","132","1271","150","1723","","965","965","965","BIAFHNIK_02515","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E1V7W0"
"group_4148","rimK_2","Ribosomal protein S6--L-glutamate ligase","1","1","1","132","1270","150","1722","","887","887","887","BIAFHNIK_02516","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0C0U4"
"group_4149","folB","Dihydroneopterin aldolase","1","1","1","132","1269","150","1721","","362","362","362","BIAFHNIK_02517","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P56740"
"group_4150","","hypothetical protein","1","1","1","132","1268","150","1720","","971","971","971","BIAFHNIK_02519","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4151","ytnP","putative quorum-quenching lactonase YtnP","1","1","1","132","1267","150","1719","","854","854","854","BIAFHNIK_02520","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34760"
"group_4152","","hypothetical protein","1","1","1","132","1265","150","1717","","404","404","404","BIAFHNIK_02522","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4153","","hypothetical protein","1","1","1","132","1264","150","1716","","1874","1874","1874","BIAFHNIK_02523","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4154","","hypothetical protein","1","1","1","132","1263","150","1715","","596","596","596","BIAFHNIK_02524","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4155","","hypothetical protein","1","1","1","132","1262","150","1714","","584","584","584","BIAFHNIK_02525","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4156","","hypothetical protein","1","1","1","132","1261","150","1713","","608","608","608","BIAFHNIK_02526","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4157","bsn_2","Extracellular ribonuclease","1","1","1","132","1260","150","1712","","1364","1364","1364","BIAFHNIK_02527","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q03091"
"group_4158","ywaD","Aminopeptidase YwaD","1","1","1","132","1259","150","1711","","974","974","974","BIAFHNIK_02528","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P25152"
"group_4159","","hypothetical protein","1","1","1","132","3307","150","1634","","680","680","680","BIAFHNIK_02531","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4160","trxA_3","Thioredoxin 1","1","1","1","132","8371","150","7579","","359","359","359","BIAFHNIK_02534","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A4L2"
"group_4161","","Prolyl endopeptidase","1","1","1","132","8372","150","7578","","2168","2168","2168","BIAFHNIK_02535","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q06903"
"fbpC2_2","","Fe(3+) ions import ATP-binding protein FbpC 2","1","1","1","132","8373","150","7577","","938","938","938","BIAFHNIK_02536","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P44513"
"group_4163","","hypothetical protein","1","1","1","132","8374","150","7576","","752","752","752","BIAFHNIK_02537","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4164","","hypothetical protein","1","1","1","132","8375","150","7472","","458","458","458","BIAFHNIK_02538","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4165","","hypothetical protein","1","1","1","132","8376","150","7473","","1112","1112","1112","BIAFHNIK_02539","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4166","","hypothetical protein","1","1","1","132","8377","150","7474","","470","470","470","BIAFHNIK_02540","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4167","","hypothetical protein","1","1","1","132","8378","150","7475","","956","956","956","BIAFHNIK_02541","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4168","kynB_2","Kynurenine formamidase","1","1","1","132","8379","150","7476","","761","761","761","BIAFHNIK_02542","","","","","","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01969"
"group_4169","","hypothetical protein","1","1","1","132","8380","150","7477","","437","437","437","BIAFHNIK_02543","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4170","","hypothetical protein","1","1","1","132","8381","150","7478","","176","176","176","BIAFHNIK_02544","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4171","","hypothetical protein","1","1","1","132","8383","150","7486","","329","329","329","BIAFHNIK_02546","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4172","","hypothetical protein","1","1","1","132","8384","150","7487","","374","374","374","BIAFHNIK_02547","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4173","","hypothetical protein","1","1","1","132","8385","150","7488","","299","299","299","BIAFHNIK_02548","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4174","","hypothetical protein","1","1","1","132","8386","150","7489","","974","974","974","BIAFHNIK_02549","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4175","glpD","Aerobic glycerol-3-phosphate dehydrogenase","1","1","1","132","8387","150","7490","","1646","1646","1646","BIAFHNIK_02550","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P18158"
"group_4176","gpsA","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","1","1","1","132","8361","150","7561","","995","995","995","BIAFHNIK_02553","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q97NF1"
"group_4177","dut","Deoxyuridine 5'-triphosphate nucleotidohydrolase","1","1","1","132","5905","150","7560","","431","431","431","BIAFHNIK_02554","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2YRG4"
"group_4178","","hypothetical protein","1","1","1","132","5910","150","7555","","791","791","791","BIAFHNIK_02556","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4179","rluE","Ribosomal large subunit pseudouridine synthase E","1","1","1","132","5911","150","7554","","566","566","566","BIAFHNIK_02557","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P75966"
"group_4180","","hypothetical protein","1","1","1","132","5912","150","7553","","155","155","155","BIAFHNIK_02558","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4181","","hypothetical protein","1","1","1","132","5913","150","7552","","848","848","848","BIAFHNIK_02559","","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4182","","Acetyltransferase","1","1","1","132","5914","150","7551","","440","440","440","BIAFHNIK_02560","","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5HH30"
"group_4184","","hypothetical protein","1","1","1","132","1429","150","1780","","1058","1058","1058","","ACNLJPHK_00020","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4185","glpQ","Glycerophosphodiester phosphodiesterase%2C periplasmic","1","1","1","132","1323","150","1788","","902","902","902","","ACNLJPHK_00022","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P09394"
"group_4186","","hypothetical protein","1","1","1","132","1422","150","1781","","191","191","191","","ACNLJPHK_00023","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4187","","hypothetical protein","1","1","1","132","1423","150","1782","","1004","1004","1004","","ACNLJPHK_00024","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4188","","hypothetical protein","1","1","1","132","1424","150","1783","","221","221","221","","ACNLJPHK_00025","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4189","","hypothetical protein","1","1","1","132","1425","150","1784","","989","989","989","","ACNLJPHK_00026","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4190","","hypothetical protein","1","1","1","132","1328","150","1785","","1763","1763","1763","","ACNLJPHK_00028","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4191","","hypothetical protein","1","1","1","132","1402","150","3590","","344","344","344","","ACNLJPHK_00030","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4192","","hypothetical protein","1","1","1","132","1401","150","3591","","221","221","221","","ACNLJPHK_00031","","","","","","","ab initio prediction:Prodigal:2.6"
"ywaD","","Aminopeptidase YwaD","1","1","1","132","1400","150","3592","","1733","1733","1733","","ACNLJPHK_00032","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P25152"
"group_4195","","hypothetical protein","1","1","1","132","1343","150","3611","","332","332","332","","ACNLJPHK_00037","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4196","","hypothetical protein","1","1","1","132","1387","150","3559","","1547","1547","1547","","ACNLJPHK_00040","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4197","","hypothetical protein","1","1","1","132","1351","150","3620","","950","950","950","","ACNLJPHK_00044","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4198","","hypothetical protein","1","1","1","132","1365","150","3626","","281","281","281","","ACNLJPHK_00047","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4199","","hypothetical protein","1","1","1","132","1366","150","3627","","197","197","197","","ACNLJPHK_00048","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4200","cofC","2-phospho-L-lactate guanylyltransferase","1","1","1","132","1363","150","3542","","653","653","653","","ACNLJPHK_00051","","","","","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_02114"
"group_4201","moeZ_1","putative adenylyltransferase/sulfurtransferase MoeZ","1","1","1","132","1362","150","3543","","491","491","491","","ACNLJPHK_00052","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WMN7"
"group_4202","","hypothetical protein","1","1","1","132","1359","150","3640","","707","707","707","","ACNLJPHK_00055","","","","","","","ab initio prediction:Prodigal:2.6"
"bepC_1","","Outer membrane efflux protein BepC","1","1","1","132","2911","150","3649","","1331","1331","1331","","ACNLJPHK_00067","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8G0Y6"
"group_4205","","hypothetical protein","1","1","1","132","2914","150","3653","","353","353","353","","ACNLJPHK_00070","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4206","","hypothetical protein","1","1","1","132","2863","150","3667","","470","470","470","","ACNLJPHK_00078","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4207","","hypothetical protein","1","1","1","132","1225","150","1884","","500","500","500","","ACNLJPHK_00082","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4210","","hypothetical protein","1","1","1","132","1251","150","1900","","539","539","539","","ACNLJPHK_00092","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4211","","hypothetical protein","1","1","1","132","1248","150","1902","","404","404","404","","ACNLJPHK_00094","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4212","","hypothetical protein","1","1","1","132","1245","150","1905","","515","515","515","","ACNLJPHK_00097","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4213","","hypothetical protein","1","1","1","132","1244","150","1906","","332","332","332","","ACNLJPHK_00098","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4214","","hypothetical protein","1","1","1","132","1241","150","1908","","212","212","212","","ACNLJPHK_00101","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4215","","hypothetical protein","1","1","1","132","3336","150","1690","","254","254","254","","ACNLJPHK_00105","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4216","","hypothetical protein","1","1","1","132","3339","150","1913","","782","782","782","","ACNLJPHK_00107","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4217","","hypothetical protein","1","1","1","132","3335","150","1912","","584","584","584","","ACNLJPHK_00108","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4218","","hypothetical protein","1","1","1","132","3333","150","1657","","296","296","296","","ACNLJPHK_00110","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4219","","hypothetical protein","1","1","1","132","3334","150","1658","","422","422","422","","ACNLJPHK_00111","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4220","","hypothetical protein","1","1","1","132","3390","150","1656","","473","473","473","","ACNLJPHK_00115","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4221","","hypothetical protein","1","1","1","132","3389","150","1923","","2891","2891","2891","","ACNLJPHK_00116","","","","","","","ab initio prediction:Prodigal:2.6"
"nfi_1","","Endonuclease V","1","1","1","132","3401","150","1655","","521","521","521","","ACNLJPHK_00124","","","","","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_00801"
"group_4223","","hypothetical protein","1","1","1","132","3402","150","1936","","395","395","395","","ACNLJPHK_00125","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4224","","hypothetical protein","1","1","1","132","3403","150","1937","","998","998","998","","ACNLJPHK_00126","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4225","","hypothetical protein","1","1","1","132","3404","150","1938","","338","338","338","","ACNLJPHK_00127","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4226","","hypothetical protein","1","1","1","132","3405","150","1939","","2567","2567","2567","","ACNLJPHK_00128","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4227","","hypothetical protein","1","1","1","132","3406","150","1940","","3551","3551","3551","","ACNLJPHK_00129","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4228","","hypothetical protein","1","1","1","132","3323","150","1942","","620","620","620","","ACNLJPHK_00131","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4229","bioH","Pimeloyl-[acyl-carrier protein] methyl ester esterase","1","1","1","132","3322","150","1943","","686","686","686","","ACNLJPHK_00132","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E6MWF8"
"group_4230","bsn_1","Extracellular ribonuclease","1","1","1","132","3415","150","1951","","1130","1130","1130","","ACNLJPHK_00137","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q03091"
"group_4232","trxA_1","Thioredoxin 1","1","1","1","132","3305","150","7580","","350","350","350","","ACNLJPHK_00144","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A4L2"
"group_4234","","hypothetical protein","1","1","1","132","7184","150","6718","","563","563","563","","ACNLJPHK_00148","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4235","","D-alanyl-D-alanine carboxypeptidase","1","1","1","132","7183","150","6719","","1346","1346","1346","","ACNLJPHK_00149","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P15555"
"group_4236","","hypothetical protein","1","1","1","132","7182","150","6720","","617","617","617","","ACNLJPHK_00150","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4237","","Acetyltransferase","1","1","1","132","5881","150","6721","","428","428","428","","ACNLJPHK_00151","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q7CXI0"
"group_4238","","hypothetical protein","1","1","1","132","5880","150","7445","","950","950","950","","ACNLJPHK_00154","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4240","","hypothetical protein","1","1","1","132","8400","150","7448","","770","770","770","","ACNLJPHK_00157","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4241","besA_1","Ferri-bacillibactin esterase BesA","1","1","1","132","8399","150","7449","","827","827","827","","ACNLJPHK_00158","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32102"
"group_4242","","hypothetical protein","1","1","1","132","8398","150","7450","","755","755","755","","ACNLJPHK_00160","","","","","","","ab initio prediction:Prodigal:2.6"
"yecD","","Isochorismatase family protein YecD","1","1","1","132","8397","150","7451","","566","566","566","","ACNLJPHK_00161","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0ADI7"
"sfp","","4'-phosphopantetheinyl transferase sfp","1","1","1","132","8395","150","7453","","665","665","665","","ACNLJPHK_00163","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P39135"
"dhbF","","Dimodular nonribosomal peptide synthase","1","1","1","132","8394","150","7454","","4418","4418","4418","","ACNLJPHK_00164","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P45745"
"yojI","","ABC transporter ATP-binding/permease protein YojI","1","1","1","132","8393","150","7455","","1628","1628","1628","","ACNLJPHK_00165","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P33941"
"group_4247","","hypothetical protein","1","1","1","132","8391","150","7457","","125","125","125","","ACNLJPHK_00167","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4248","","hypothetical protein","1","1","1","132","8390","150","7458","","383","383","383","","ACNLJPHK_00168","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4249","","hypothetical protein","1","1","1","132","5887","150","7462","","1382","1382","1382","","ACNLJPHK_00171","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4250","","hypothetical protein","1","1","1","132","5897","150","7467","","1178","1178","1178","","ACNLJPHK_00176","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4251","","hypothetical protein","1","1","1","132","5898","150","7469","","281","281","281","","ACNLJPHK_00178","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4252","paiA","Spermidine/spermine N(1)-acetyltransferase","1","1","1","132","5903","150","7556","","539","539","539","","ACNLJPHK_00186","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P21340"
"group_4253","","hypothetical protein","1","1","1","132","8354","150","7546","","188","188","188","","ACNLJPHK_00189","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4254","ytlR","Putative lipid kinase YtlR","1","1","1","132","8351","150","7539","","911","911","911","","ACNLJPHK_00193","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34799"
"group_4255","","hypothetical protein","1","1","1","132","8346","150","7534","","317","317","317","","ACNLJPHK_00197","","","","","","","ab initio prediction:Prodigal:2.6"
"birA_1","","Bifunctional ligase/repressor BirA","1","1","1","132","3530","150","3155","","737","737","737","","ACNLJPHK_00202","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0CI75"
"group_4260","","hypothetical protein","1","1","1","132","4231","150","3118","","527","527","527","","ACNLJPHK_00209","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4261","","hypothetical protein","1","1","1","132","4273","150","3117","","548","548","548","","ACNLJPHK_00213","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4262","","hypothetical protein","1","1","1","132","4272","150","3189","","278","278","278","","ACNLJPHK_00215","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4265","","Immunogenic protein MPB70","1","1","1","132","4262","150","3195","","563","563","563","","ACNLJPHK_00222","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A669"
"lytH","","L-Ala--D-Glu endopeptidase","1","1","1","132","4257","150","3204","","512","512","512","","ACNLJPHK_00225","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O32130"
"group_4267","","hypothetical protein","1","1","1","132","4256","150","3205","","356","356","356","","ACNLJPHK_00226","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4268","yehT_1","Transcriptional regulatory protein YehT","1","1","1","132","4255","150","3206","","737","737","737","","ACNLJPHK_00227","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AFT5"
"group_4269","ypdA_1","Sensor histidine kinase YpdA","1","1","1","132","4254","150","3207","","1034","1034","1034","","ACNLJPHK_00228","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AA93"
"macB_1","","Macrolide export ATP-binding/permease protein MacB","1","1","1","132","5616","150","3208","","1220","1220","1220","","ACNLJPHK_00229","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5MK06"
"yknY_1","","putative ABC transporter ATP-binding protein YknY","1","1","1","132","5617","150","3209","","743","743","743","","ACNLJPHK_00230","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O31711"
"macA_1","","Macrolide export protein MacA","1","1","1","132","5618","150","3210","","1208","1208","1208","","ACNLJPHK_00231","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P75830"
"bepC_2","","Outer membrane efflux protein BepC","1","1","1","132","5619","150","3211","","1328","1328","1328","","ACNLJPHK_00232","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8G0Y6"
"group_4274","","hypothetical protein","1","1","1","132","5620","150","3212","","578","578","578","","ACNLJPHK_00233","","","","","","","ab initio prediction:Prodigal:2.6"
"czcO","","putative oxidoreductase CzcO","1","1","1","132","5615","150","3113","","1043","1043","1043","","ACNLJPHK_00235","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O07085"
"group_4276","","hypothetical protein","1","1","1","132","5614","150","3112","","485","485","485","","ACNLJPHK_00236","","","","","","","ab initio prediction:Prodigal:2.6"
"hcf136_1","","Ycf48-like protein","1","1","1","132","8405","150","1959","","1160","1160","1160","","ACNLJPHK_00242","","","","","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01348"
"group_4278","bcp_1","Putative peroxiredoxin bcp","1","1","1","132","8406","150","1958","","656","656","656","","ACNLJPHK_00243","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0AE52"
"group_4279","rhaS_1","HTH-type transcriptional activator RhaS","1","1","1","132","8407","150","1957","","731","731","731","","ACNLJPHK_00244","","","","","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01534"
"group_4280","tcdA","tRNA threonylcarbamoyladenosine dehydratase","1","1","1","132","8408","150","1956","","755","755","755","","ACNLJPHK_00245","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q46927"
"narL","","putative transcriptional regulatory protein NarL","1","1","1","132","8409","150","1955","","758","758","758","","ACNLJPHK_00246","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P9WGM5"
"group_4282","","hypothetical protein","1","1","1","132","8410","150","1954","","605","605","605","","ACNLJPHK_00247","","","","","","","ab initio prediction:Prodigal:2.6"
"rfaH","","Transcription antitermination protein RfaH","1","1","1","132","8411","150","1953","","509","509","509","","ACNLJPHK_00248","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q0TAL4"
"group_4284","","hypothetical protein","1","1","1","132","2038","150","1166","","452","452","452","","ACNLJPHK_00252","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4285","","hypothetical protein","1","1","1","132","2039","150","1167","","191","191","191","","ACNLJPHK_00253","","","","","","","ab initio prediction:Prodigal:2.6"
"pimB","","GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase","1","1","1","132","2040","150","1168","","1001","1001","1001","","ACNLJPHK_00254","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0R043"
"group_4287","","hypothetical protein","1","1","1","132","2041","150","1169","","932","932","932","","ACNLJPHK_00255","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4289","","hypothetical protein","1","1","1","132","2159","150","1179","","1958","1958","1958","","ACNLJPHK_00265","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4290","","hypothetical protein","1","1","1","132","1712","150","1198","","1202","1202","1202","","ACNLJPHK_00268","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4291","","hypothetical protein","1","1","1","132","1705","150","1196","","1085","1085","1085","","ACNLJPHK_00271","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4292","","hypothetical protein","1","1","1","132","1704","150","1195","","956","956","956","","ACNLJPHK_00272","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4293","","hypothetical protein","1","1","1","132","1703","150","1194","","452","452","452","","ACNLJPHK_00273","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4294","","hypothetical protein","1","1","1","132","1701","150","1192","","650","650","650","","ACNLJPHK_00275","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4295","","hypothetical protein","1","1","1","132","1700","150","1191","","998","998","998","","ACNLJPHK_00276","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4296","","hypothetical protein","1","1","1","132","1699","150","1190","","542","542","542","","ACNLJPHK_00277","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4297","","hypothetical protein","1","1","1","132","1698","150","5066","","989","989","989","","ACNLJPHK_00278","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4299","","hypothetical protein","1","1","1","132","8212","150","5077","","638","638","638","","ACNLJPHK_00287","","","","","","","ab initio prediction:Prodigal:2.6"
"cysP","","Sulfate permease CysP","1","1","1","132","8286","150","5084","","992","992","992","","ACNLJPHK_00289","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O34734"
"group_4301","bamA","Outer membrane protein assembly factor BamA","1","1","1","132","8290","150","5088","","1298","1298","1298","","ACNLJPHK_00292","","","","","","","ab initio prediction:Prodigal:2.6,protein motif:HAMAP:MF_01430"
"group_4302","","hypothetical protein","1","1","1","132","8289","150","5087","","1007","1007","1007","","ACNLJPHK_00293","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4303","","hypothetical protein","1","1","1","132","8288","150","5086","","869","869","869","","ACNLJPHK_00294","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4304","","hypothetical protein","1","1","1","132","4974","150","2199","","1418","1418","1418","","ACNLJPHK_00298","","","","","","","ab initio prediction:Prodigal:2.6"
"linC_1","","2%2C5-dichloro-2%2C5-cyclohexadiene-1%2C4-diol dehydrogenase","1","1","1","132","4975","150","2200","","677","677","677","","ACNLJPHK_00299","","","","","","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P50197"
"group_4306","","hypothetical protein","1","1","1","132","4976","150","2201","","524","524","524","","ACNLJPHK_00300","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4307","","hypothetical protein","1","1","1","132","4980","150","2112","","458","458","458","","ACNLJPHK_00304","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4310","","hypothetical protein","1","1","1","132","4937","150","2111","","725","725","725","","ACNLJPHK_00312","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4311","","hypothetical protein","1","1","1","132","4936","150","2110","","854","854","854","","ACNLJPHK_00313","","","","","","","ab initio prediction:Prodigal:2.6"
"group_4312","","hypothetical protein","1","1","1","132","4997","150","2109","","641","641","641","","ACNLJPHK_00318","","","","","","","ab initio prediction:Prodigal:2.6"
